vehicle_id,lane,frame,timestamp
3,1,11,0.367
1,3,14,0.467
4,2,40,1.333
6,4,57,1.9
7,1,61,2.033
9,1,100,3.333
10,3,111,3.7
11,2,148,4.933
13,2,196,6.533
14,2,218,7.267
16,2,248,8.267
20,2,273,9.1
19,3,274,9.133
21,1,281,9.367
26,3,324,10.8
28,1,333,11.1
27,2,335,11.167
29,2,361,12.033
31,3,379,12.633
34,2,407,13.567
35,3,430,14.333
37,2,458,15.267
38,1,529,17.633
40,1,591,19.7
41,2,595,19.833
43,1,641,21.367
44,2,667,22.233
45,3,670,22.333
46,3,733,24.433
47,2,735,24.5
50,1,787,26.233
52,2,811,27.033
56,2,852,28.4
58,4,858,28.6
59,3,864,28.8
63,2,910,30.333
65,2,919,30.633
64,1,920,30.667
68,2,936,31.2
75,4,995,33.167
77,2,1028,34.267
79,4,1055,35.167
81,1,1074,35.8
85,2,1108,36.933
86,3,1119,37.3
97,1,1170,39.0
98,2,1186,39.533
108,4,1207,40.233
109,2,1254,41.8
110,1,1264,42.133
111,1,1324,44.133
112,2,1352,45.067
113,4,1378,45.933
118,1,1410,47.0
126,2,1438,47.933
127,2,1446,48.2
129,1,1463,48.767
130,4,1463,48.767
132,2,1523,50.767
133,2,1531,51.033
134,1,1540,51.333
135,4,1541,51.367
140,2,1589,52.967
143,4,1593,53.1
144,1,1628,54.267
150,2,1651,55.033
145,3,1657,55.233
152,3,1676,55.867
155,2,1702,56.733
158,1,1738,57.933
159,3,1743,58.1
160,2,1751,58.367
164,2,1810,60.333
166,3,1832,61.067
167,1,1864,62.133
170,2,1893,63.1
173,3,1913,63.767
171,1,1973,65.767
179,3,1988,66.267
180,2,1996,66.533
181,3,2048,68.267
182,2,2075,69.167
185,3,2093,69.767
184,1,2105,70.167
183,1,2119,70.633
189,2,2139,71.3
190,3,2144,71.467
195,3,2204,73.467
193,1,2207,73.567
199,2,2238,74.6
200,3,2270,75.667
201,1,2271,75.7
203,2,2290,76.333
204,1,2334,77.8
210,2,2428,80.933
211,1,2448,81.6
212,3,2467,82.233
215,1,2494,83.133
216,2,2499,83.3
217,3,2518,83.933
218,2,2547,84.9
219,3,2575,85.833
222,3,2628,87.6
223,2,2660,88.667
224,1,2673,89.1
226,2,2753,91.767
228,2,2787,92.9
229,2,2837,94.567
231,2,2911,97.033
232,1,2941,98.033
233,2,2966,98.867
235,1,2990,99.667
238,2,3057,101.9
239,3,3090,103.0
240,1,3095,103.167
241,2,3159,105.3
242,1,3172,105.733
243,3,3184,106.133
244,2,3188,106.267
245,2,3211,107.033
246,2,3242,108.067
248,3,3249,108.3
249,1,3272,109.067
251,2,3301,110.033
252,3,3315,110.5
253,4,3334,111.133
254,1,3334,111.133
256,3,3384,112.8
257,2,3416,113.867
260,1,3459,115.3
265,4,3508,116.933
266,1,3508,116.933
268,1,3557,118.567
269,2,3573,119.1
272,3,3605,120.167
273,3,3618,120.6
274,1,3627,120.9
275,2,3635,121.167
276,4,3656,121.867
277,2,3742,124.733
278,2,3882,129.4
279,3,3902,130.067
281,2,3915,130.5
282,1,3917,130.567
286,2,3949,131.633
287,1,3966,132.2
288,3,4014,133.8
290,1,4053,135.1
291,2,4111,137.033
292,3,4130,137.667
293,2,4130,137.667
294,4,4152,138.4
295,1,4153,138.433
296,2,4166,138.867
298,1,4177,139.233
301,2,4209,140.3
302,4,4219,140.633
304,1,4229,140.967
308,2,4243,141.433
310,4,4249,141.633
324,2,4280,142.667
313,1,4294,143.133
317,3,4299,143.3
326,2,4310,143.667
327,1,4332,144.4
328,2,4357,145.233
329,2,4424,147.467
330,4,4431,147.7
333,3,4487,149.567
335,2,4492,149.733
337,3,4514,150.467
338,3,4578,152.6
339,2,4612,153.733
341,2,4650,155.0
342,1,4661,155.367
343,3,4689,156.3
346,1,4713,157.1
347,4,4733,157.767
349,2,4744,158.133
350,1,4760,158.667
355,1,4784,159.467
357,2,4804,160.133
359,4,4809,160.3
360,1,4819,160.633
358,3,4826,160.867
362,2,4836,161.2
365,2,4874,162.467
366,1,4917,163.9
367,2,4920,164.0
368,3,4929,164.3
370,2,4993,166.433
371,1,4995,166.5
374,2,5036,167.867
372,3,5039,167.967
377,1,5074,169.133
378,4,5082,169.4
373,2,5084,169.467
380,1,5109,170.3
382,3,5136,171.2
386,2,5177,172.567
387,1,5180,172.667
391,3,5210,173.667
392,2,5235,174.5
394,2,5266,175.533
395,2,5281,176.033
398,3,5307,176.9
399,1,5318,177.267
410,1,5384,179.467
411,3,5393,179.767
412,4,5398,179.933
416,1,5454,181.8
418,3,5470,182.333
417,2,5474,182.467
419,1,5512,183.733
421,3,5552,185.067
422,1,5554,185.133
423,2,5600,186.667
425,3,5612,187.067
426,1,5622,187.4
428,1,5667,188.9
429,4,5697,189.9
432,2,5724,190.8
434,1,5732,191.067
437,2,5785,192.833
438,3,5798,193.267
439,1,5841,194.7
440,4,5848,194.933
446,1,5893,196.433
448,2,5904,196.8
449,4,5905,196.833
450,1,5930,197.667
451,4,5944,198.133
454,2,5964,198.8
452,3,5981,199.367
455,1,5986,199.533
456,2,6019,200.633
460,1,6035,201.167
459,1,6077,202.567
467,2,6087,202.9
469,3,6124,204.133
471,3,6146,204.867
472,2,6167,205.567
473,1,6167,205.567
478,3,6205,206.833
479,1,6214,207.133
480,2,6246,208.2
481,3,6282,209.4
483,1,6296,209.867
484,2,6301,210.033
487,4,6326,210.867
490,1,6348,211.6
493,2,6359,211.967
497,4,6384,212.8
499,1,6407,213.567
500,2,6429,214.3
503,1,6441,214.7
505,2,6474,215.8
506,1,6478,215.933
510,2,6526,217.533
511,3,6543,218.1
512,2,6569,218.967
513,4,6582,219.4
516,3,6653,221.767
518,3,6729,224.3
519,2,6752,225.067
521,1,6770,225.667
525,3,6810,227.0
527,4,6834,227.8
529,3,6875,229.167
530,2,6885,229.5
535,3,6949,231.633
536,1,6949,231.633
539,3,7009,233.633
541,1,7051,235.033
542,3,7100,236.667
543,1,7123,237.433
545,2,7191,239.7
544,3,7192,239.733
546,1,7260,242.0
549,2,7279,242.633
548,4,7285,242.833
551,3,7336,244.533
552,2,7336,244.533
553,4,7361,245.367
554,1,7372,245.733
555,2,7424,247.467
556,4,7429,247.633
558,1,7438,247.933
559,2,7510,250.333
560,1,7548,251.6
561,2,7568,252.267
564,2,7599,253.3
569,4,7626,254.2
563,1,7647,254.9
574,2,7653,255.1
576,3,7689,256.3
577,1,7709,256.967
579,1,7750,258.333
581,2,7772,259.067
586,2,7832,261.067
588,2,7872,262.4
589,3,7890,263.0
591,1,7897,263.233
592,4,7908,263.6
600,2,7938,264.6
605,3,7972,265.733
607,2,7999,266.633
608,1,8021,267.367
611,2,8062,268.733
612,1,8065,268.833
613,3,8075,269.167
615,2,8144,271.467
619,3,8177,272.567
620,2,8183,272.767
623,1,8209,273.633
624,3,8235,274.5
625,2,8237,274.567
626,1,8268,275.6
628,1,8326,277.533
631,2,8357,278.567
633,3,8383,279.433
634,1,8384,279.467
638,2,8418,280.6
639,3,8438,281.267
640,2,8453,281.767
641,1,8465,282.167
642,3,8490,283.0
647,2,8504,283.467
654,2,8537,284.567
655,1,8555,285.167
656,3,8562,285.4
658,2,8611,287.033
659,3,8620,287.333
660,2,8649,288.3
661,1,8653,288.433
662,3,8670,289.0
664,3,8733,291.1
665,4,8773,292.433
667,1,8795,293.167
668,2,8809,293.633
670,3,8834,294.467
674,3,8862,295.4
675,1,8868,295.6
677,1,8905,296.833
679,1,8946,298.2
681,1,9002,300.067
682,2,9016,300.533
683,3,9026,300.867
685,1,9039,301.3
686,4,9059,301.967
689,2,9142,304.733
691,3,9164,305.467
692,4,9175,305.833
694,1,9183,306.1
693,2,9184,306.133
